"786","dedo (nm)","finger, toe, digit"
"787","defecto (nm)","defect"
"788","departamento (nm)","department, apartment"
"789","diálogo (nm)","dialogue, conversation"
"790","diciembre (nm)","December"
"791","discurso (nm)","lecture, discourse, talk"
"792","documento (nm)","document"
"793","domingo (nm)","Sunday"
"794","dueño (nm)","owner, landlord (m)"
"795","ejercicio (nm)","exercise, practice"
"796","ejército (nm)","army"
"797","empleado (nm)","employee"
"798","empleo (nm)","work, job, occupation"
"799","enemigo (nm)","enemy"
"800","enero (nm)","January"
"801","equilibrio (nm)","balance"
"802","espectáculo (nm)","spectacle, show"
"803","examen (nm)","examination, exam"
"804","exceso (nm)","excess"
"805","experto (nm)","expert"
"806","extranjero (nm)","foreigner (nm)"
"807","fracaso (nm)","failure, collapse"
"808","frío (nm)","cold (nm)"
"809","fruto (nm)","fruit, result"
"810","fuego (nm)","fire, gunfire"
"811","futuro (adj)","future (adj)"
"812","gasto (nm)","expense, expenditure"
"813","gato (nm)","cat"
"814","general (nm)","general (nm)"
"815","gesto (nm)","gesture"
"816","habitante (nm)","inhabitant"
"817","honor (nm)","honor, honesty"
"818","hospital (nm)","hospital"
"819","idioma (nm)","language"
"820","indio (nm)","Indian"
"821","individuo (nm)","individual, person"
"822","instante (nm)","instant, moment"
"823","intento (nm)","attempt, try"
"824","interior (adj)","interior, inside (adj)"
"825","invierno (nm)","winter"
"826","kilómetro (nm)","kilometer"
"827","maestro (adj)","master (adj)"
"828","marco (nm)","frame, mark, setting"
"829","marido (nm)","husband"
"830","material (adj)","material (adj)"
"831","matrimonio (nm)","marriage, married couple"
"832","mayo (nm)","May"
"833","mensaje (nm)","message"
"834","método (nm)","method"
"835","nacimiento (nm)","birth, origin"
"836","organismo (nm)","organization, organism, human body"
"837","pan (nm)","bread"
"838","particular (nm)","particular, detail, individual (nm)"
"839","pelo (nm)","hair&nbsp;[also cabello]"
"840","período (nm)","period, time"
"841","personal (nm)","personnel, staff, staffing (nm)"
"842","placer (nm)","pleasure"
"843","plazo (nm)","deadline, installment"
"844","premio (nm)","prize, reward"
"845","presente (adj)","present, current (adj)"
"846","puente (nm)","bridge"
"847","puerto (nm)","port, harbor"
"848","rasgo (nm)","feature, trait"
"849","rato (nm)","moment, while, time"
"850","régimen (nm)","regime, diet"
"851","remedio (nm)","alternative, cure, solution"
"852","rey (nm)","king"
"853","riesgo (nm)","risk"
"854","ruido (nm)","noise"
"855","salto (nm)","jump, hop, skip"
"856","sector (nm)","sector, area, section"
"857","signo (nm)","sign, mark, symbol"
"858","sonido (nm)","sound"
"859","sur (nm)","south"
"860","techo (nm)","ceiling, roof"
"861","temor (nm)","fear [also miedo]"
"862","territorio (nm)","territory"
"863","en torno a<br>torno (nm)","about, regarding"
"864","total (nm)","sum, total (nm)"
"865","tratamiento (nm)","treatment, processing"
"866","trato (nm)","treatment, manner, agreement"
"867","tren (nm)","train, convoy"
"868","vehículo (nm)","vehicle, car"
"869","viento (nm)","wind, scent"
"870","volumen (nm)","volume"
"871","escritor (nm/f)","writer"
"872","médico (adj)","medical (adj)"
"873","político (nm/f)","politician (nm/f)"
"874","secretario (nm/f)","secretary"
"875","corte (nmf)","court (f), cut (m)"
"876","margen (nmf)","edge, margin, border, brink"
"877","once (num)","eleven"
"878","quince (num)","fifteen"
"879","sesenta (num)","sixty"
"880","aquél (pron)","that one over there (m)"
"881","os (pron)","you (obj pl fam)"
"882","aclarar (v)","to clarify, clear up"
"883","acudir (v)","to attend, go to, frequent"
"884","acumular (v)","to accumulate, amass"
"885","adoptar (v)","to adopt"
"886","alejar (v)","to move away"
"887","amar (v)","to love"
"888","añadir (v)","to add"
"889","analizar (v)","to analyze"
"890","animar (v)","to cheer up"
"891","apreciar (v)","to appreciate"
"892","aprobar (v)","to pass a test, approve"
"893","apuntar (v)","to point, note, aim"
"894","arrancar (v)","to start a machine, uproot"
"895","arrastrar (v)","to drag, pull"
"896","arreglar (v)","to fix, arrange"
"897","asumir (v)","to assume, take on"
"898","atacar (v)","to attack"
"899","atraer (v)","to attract"
"900","atrever (v)","to dare"
"901","basar (v)","to base on, base upon"
"902","beber (v)","to drink"
"903","calcular (v)","to calculate, figure out"
"904","cantar (v)","to sing"
"905","casar (v)","to marry"
"906","causar (v)","to cause, bring about"
"907","ceder (v)","to give way, yield"
"908","celebrar (v)","to celebrate"
"909","citar (v)","to cite, quote"
"910","cobrar (v)","to charge money"
"911","cometer (v)","to commit"
"912","comparar (v)","to compare"
"913","componer (v)","to compose, be part of"
"914","conceder (v)","to grant, concede"
"915","concentrar (v)","to concentrate"
"916","concluir (v)","to conclude, finish"
"917","condenar (v)","to convict, condemn"
"918","confiar (v)","to trust, confide"
"919","confirmar (v)","to confirm"
"920","conformar (v)","to conform"
"921","confundir (v)","to confuse"
"922","consumir (v)","to consume, take in"
"923","contribuir (v)","to contribute"
"924","controlar (v)","to control"
"925","convencer (v)","to convince, persuade"
"926","declarar (v)","to declare, testify"
"927","descansar (v)","to rest"
"928","describir (v)","to describe"
"929","destinar (v)","to assign, appoint"
"930","destruir (v)","to destroy, ruin"
"931","determinar (v)","to determine, decide"
"932","devolver (v)","to give back, to return something [also retornar]"
"933","disfrutar (v)","to enjoy [also gozar]"
"934","dividir (v)","to divide"
"935","dudar (v)","to have doubt"
"936","ejercer (v)","to practice, exercise"
"937","elevar (v)","to elevate, raise"
"938","encargar (v)","to entrust, [se] take charge of"
"939","equivocar (v)","to be wrong"
"940","estimar (v)","to estimate, hold in esteem"
"941","experimentar (v)","to experience, experiment"
"942","fabricar (v)","to manufacture"
"943","facilitar (v)","to facilitate"
"944","figurar (v)","to appear, represent, figure in"
"945","fundar (v)","to found, base"
"946","girar (v)","to rotate, revolve"
"947","gozar (v)","to enjoy&nbsp;[also disfrutar]"
"948","grabar (v)","to record, engrave"
"949","hallar (v)","to find out"
"950","ignorar (v)","to be unaware"
"951","incorporar (v)","to incorporate, include"
"952","integrar (v)","to integrate, fit in"
"953","interrumpir (v)","to interrupt"
"954","inventar (v)","to invent, make up"
"955","justificar (v)","to justify, excuse"
"956","juzgar (v)","to judge"
"957","liberar (v)","to free, liberate"
"958","limitar (v)","to limit"
"959","llorar (v)","to cry"
"960","luchar (v)","to fight, wrestle"
"961","manifestar (v)","to express, show"
"962","marchar (v)","to walk, to work (like a machine)"
"963","mezclar (v)","to mix"
"964","molestar (v)","to bother, disturb, upset"
"965","nombrar (v)","to name, appoint"
"966","operar (v)","to operate"
"967","opinar (v)","to think, be of the opinion"
"968","oponer (v)","to oppose"
"969","ordenar (v)","to put in order, organize"
"970","parar (v)","to stop moving"
"971","pegar (v)","to hit, stick on"
"972","perseguir (v)","to pursue"
"973","pintar (v)","to paint"
"974","poseer (v)","to possess, own"
"975","practicar (v)","to practice"
"976","proceder (v)","to proceed, start"
"977","procurar (v)","to try, seek"
"978","proteger (v)","to protect"
"979","proyectar (v)","to project"
"980","rechazar (v)","to reject"
"981","reflejar (v)","to reflect"
"982","reír (v)","to laugh"
"983","repartir (v)","to divide, deliver, distribute"
"984","requerir (v)","to require"
"985","resistir (v)","to resist, endure"
"986","robar (v)","to rob, steal"
"987","rodear (v)","to surround"
"988","saltar (v)","to jump, leap, hop"
"989","solicitar (v)","to solicit, request"
"990","someter (v)","to subject, submit, subjugate"
"991","sonar (v)","to sound, ring"
"992","soportar (v)","to endure, stand (something)"
"993","sorprender (v)","to surprise"
"994","sugerir (v)","to suggest, hint at"
"995","temer (v)","to fear"
"996","transmitir (v)","to transmit, broadcast"
"997","trasladar (v)","to move, transfer"
"998","vencer (v)","to overcome, conquer"
"999","vestir (v)","to wear, dress"
"1000","volar (v)","to fly"
"1001","acostumbrado (adj)","accustomed"
"1002","agradable (adj)","nice, pleasant"
"1003","aislado (adj)","isolated"
"1004","alejado (adj)","remote, distant, aloof"
"1005","amarillo (adj)","yellow"
"1006","ancho (adj)","wide (adj)"
"1007","anciano (adj)","elderly, aged"
"1008","aplicado (adj)","applied"
"1009","argentino (adj)","Argentine"
"1010","armado (adj)","armed"
"1011","artístico (adj)","artistic"
"1012","avanzado (adj)","advanced"
"1013","bonito (adj)","pretty, nice"
"1014","caliente (adj)","hot, warm, spirited"
"1015","campesino (adj)","rural"
"1016","caro (adj)","expensive, difficult, dear"
"1017","casado (adj)","married"
"1018","castellano (adj)","Castilian, Spanish"
"1019","científico (adj)","scientific (adj)"
"1020","circular (v)","to circulate, go around, flow (v)"
"1021","ciudadano (nm)","citizen (nm)"
"1022","clave (nf)","key (nf)"
"1023","colectivo (adj)","collective, joint (adj)"
"1024","cómodo (adj)","comfortable, convenient"
"1025","conforme (adj)","in agreement"
"1026","contento (adj)","happy, content"
"1027","continuo (adj)","continuous"
"1028","conveniente (adj)","convenient"
"1029","crítico (adj)","critical (adj)"
"1030","cubierto (adj)","covered"
"1031","decidido (adj)","determined, resolute"
"1032","digno (adj)","worthy"
"1033","divino (adj)","divine"
"1034","doméstico (adj)","domestic"
"1035","dulce (adj)","sweet (adj)"
"1036","efectivo (adj)","effective [also eficaz]"
"1037","eficaz (adj)","effective&nbsp;[also efectivo]"
"1038","elegante (adj)","elegant, smart, stylish"
"1039","elemental (adj)","elemental, basic"
"1040","elevado (adj)","elevated, high, lofty"
"1041","entendido (adj)","understood"
"1042","esencial (adj)","essential"
"1043","espiritual (adj)","spiritual"
"1044","establecido (adj)","established"
"1045","estrecho (adj)","narrow"
"1046","eterno (adj)","eternal"
"1047","excesivo (adj)","excessive"
"1048","fiel (adj)","faithful, loyal"
"1049","firme (adj)","firm, steady"
"1050","frecuente (adj)","frequent"
"1051","ideal (nm)","ideal, goal (nm)"
"1052","incapaz (adj)","incapable"
"1053","increíble (adj)","incredible, unbelievable"
"1054","indispensable (adj)","indispensable, essential"
"1055","inevitable (adj)","inevitable, unavoidable"
"1056","inicial (adj)","initial (adj)"
"1057","interesado (adj)","interested"
"1058","íntimo (adj)","close, intimate"
"1059","inútil (adj)","useless"
"1060","izquierdo (adj)","left (opposite of right)"
"1061","latino (adj)","Latin (adj)"
"1062","ligero (adj)","light (in weight), slight"
"1063","limitado (adj)","limited"
"1064","local (adj)","local (adj)"
"1065","magnífico (adj)","magnificent, splendid"
"1066","maravilloso (adj)","wonderful, marvelous"
"1067","mecánico (adj)","mechanical"
"1068","mental (adj)","mental"
"1069","múltiple (adj)","multiple, many"
"1070","mundial (adj)","worldwide"
"1071","musical (adj)","musical"
"1072","negativo (adj)","negative, pessimistic"
"1073","nocturno (adj)","nocturnal, evening"
"1074","no + obstante<br />obstante (adj)","nevertheless"
"1075","ocupado (adj)","busy, occupied"
"1076","oportuno (adj)","opportune, timely"
"1077","opuesto (adj)","opposite, contrary"
"1078","oriental (adj)","eastern, oriental"
"1079","poderoso (adj)","powerful"
"1080","precioso (adj)","beautiful, precious"
"1081","preocupado (adj)","worried, concerned"
"1082","primario (adj)","primary"
"1083","probable (adj)","probable"
"1084","radical (adj)","radical"
"1085","redondo (adj)","round (adj)"
"1086","reducido (adj)","reduced, limited"
"1087","regular (adj)","regular (adj)"
"1088","relativo (adj)","relative (adj)"
"1089","respectivo (adj)","respective"
"1090","revolucionario (adj)","revolutionary"
"1091","rodeado (adj)","surrounded"
"1092","romano (adj)","Roman"
"1093","roto (adj)","broken, torn"
"1094","sabio (adj)","wise, learned"
"1095","sagrado (adj)","sacred"
"1096","satisfecho (adj)","satisfied"
"1097","secreto (adj)","secret (adj)"
"1098","severo (adj)","severe"
"1099","sexual (adj)","sexual"
"1100","significativo (adj)","significant, meaningful"
"1101","situado (adj)","situated, located"
"1102","sólido (adj)","solid, strong"
"1103","suave (adj)","soft, gentle, mild"
"1104","sucio (adj)","dirty, filthy, underhanded"
"1105","suelto (adj)","loose"
"1106","sujeto (nm)","subject, individual (nm)"
"1107","típico (adj)","typical"
"1108","trabajador (nm/f)","worker, laborer (nm/f) [also obrero]"
"1109","vacío (adj)","empty, vacant (adj)"
"1110","vestido (adj)","dressed (adj)"
"1111","afuera (adv)","outside"
"1112","aparentemente (adv)","apparently"
"1113","constantemente (adv)","constantly"
"1114","efectivamente (adv)","in fact, actually, indeed"
"1115","evidentemente (adv)","evidently, obviously"
"1116","exclusivamente (adv)","exclusively"
"1117","fácilmente (adv)","easily"
"1118","justo (adj)","fair, just (adj)"
"1119","lentamente (adv)","slowly"
"1120","a menudo (adv)","often"
"1121","naturalmente (adv)","naturally"
"1122","peor (adj)","worse, worst (adj)"
"1123","personalmente (adv)","personally"
"1124","posiblemente (adv)","possibly"
"1125","suficientemente (adv)","enough (adv)&nbsp;"
"1126","cuando (adv)","when (adv)"
"1127","agente (nc)","agent"
"1128","amante (nc)","lover"
"1129","cliente (nc)","client, customer"
"1130","especialista (nc)","specialist"
"1131","guardia (nc)","guard, watch, lookout"
"1132","oficial (nc)","official, officer (nc)"
"1133","paciente (nc)","patient"
"1134","actuación (nf)","performance, acting"
"1135","alternativa (nf)","alternative"
"1136","amiga (nf)","friend (f)"
"1137","angustia (nf)","anguish, distress"
"1138","aparición (nf)","appearance, apparition"
"1139","apariencia (nf)","appearance, aspect"
"1140","arena (nf)","sand"
"1141","biblioteca (nf)","library"
"1142","bolsa (nf)","bag, purse, stock exchange"
"1143","bomba (nf)","bomb, explosion, pump"
"1144","búsqueda (nf)","search"
"1145","caída (nf)","fall, drop, falling"
"1146","cárcel (nf)","jail, prison"
"1147","carretera (nf)","highway, road"
"1148","chica (nf)","girl, female"
"1149","cifra (nf)","figure, number, amount"
"1150","cinta (nf)","tape, ribbon, film, strip"
"1151","claridad (nf)","clearness, clarity"
"1152","cocina (nf)","kitchen"
"1153","cola (nf)","line, queue, tail"
"1154","colección (nf)","collection"
"1155","comparación (nf)","comparison"
"1156","competencia (nf)","competition, contest"
"1157","composición (nf)","composition, make-up, essay"
"1158","comprensión (nf)","understanding (nf)"
"1159","concentración (nf)","concentration, gathering"
